Province/State,Country/Region,Lat,Long,10/17/2020
,Trinidad and Tobago,10.6918,-61.2225,5281
,Tunisia,33.886917,9.537499,40542
,Turkey,38.9637,35.2433,345678
,US,40,-100,8106384
,Uganda,1.373333,32.290275,10455
,Ukraine,48.3794,31.1656,301856
,United Arab Emirates,23.424076,53.847818,114387
Anguilla,United Kingdom,18.2206,-63.0686,3
Bermuda,United Kingdom,32.3078,-64.7505,185
British Virgin Islands,United Kingdom,18.4207,-64.64,71
Cayman Islands,United Kingdom,19.3133,-81.2546,233
Channel Islands,United Kingdom,49.3723,-2.3644,748
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13
Gibraltar,United Kingdom,36.1408,-5.3536,558
Isle of Man,United Kingdom,54.2361,-4.5481,348
Montserrat,United Kingdom,16.742498,-62.187366,13
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,698
,United Kingdom,55.3781,-3.436,705428
,Uruguay,-32.5228,-55.7658,2501
,Uzbekistan,41.377491,64.585262,62809
,Venezuela,6.4238,-66.5897,86289
,Vietnam,14.058324,108.277199,1126
,West Bank and Gaza,31.9522,35.2332,46746
,Western Sahara,24.2155,-12.8858,10
,Yemen,15.552727,48.516388,2055
,Zambia,-13.133897,27.849332,15789
,Zimbabwe,-19.015438,29.154857,8110
